question,expected_source,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_answer,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_answer,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_answer,+both_acc,+both_faith,+both_rel,+both_rec,+both_answer
What method is used to assess the spatial consistency of ERP maps across subjects?,PMC6020783_00008.txt,0,1,1,1,The method used to assess the spatial consistency of ERP maps across subjects is the Topographic Consistency Test (TCT).,0,1,1,1,The method used to assess the spatial consistency of ERP maps across subjects is the Topographic Consistency Test (TCT).,0,1,1,1,"The method used to assess the spatial consistency of ERP maps across subjects is the ""Topographic Consistency Test"" (TCT).",0,1,1,1,The method used to assess the spatial consistency of ERP maps across subjects is the Topographic Consistency Test (TCT).
What is confirmed by studies recording the lateralized readiness potential (LAP) regarding incorrect spatial responses?,PMC4743617_00001.txt,1,1,1,1,Studies recording the lateralized readiness potential (LAP) confirm that the incorrect spatial response is briefly activated while the correct response is emerg,1,1,1,1,Studies recording the lateralized readiness potential (LAP) confirm that the incorrect spatial response is briefly activated while the correct response is emerg,1,1,1,1,The studies recording the lateralized readiness potential (LAP) confirm that the incorrect spatial response is briefly activated while the correct response is e,1,1,1,1,Studies recording the lateralized readiness potential (LAP) confirm that the incorrect spatial response is briefly activated while the correct response is emerg
What is of paramount importance for the activation of p70S6K?,PMC4125699_00003.txt,1,1,1,1,The phosphorylation of the Serine residue in position 411 is of paramount importance for the activation of p70S6K.,1,1,1,1,The phosphorylation of the serine residue in position 411 is of paramount importance for the activation of p70S6K.,1,1,1,1,The phosphorylation of the Serine residue in the 411 position is of paramount importance for the activation of p70S6K.,1,1,1,1,The phosphorylation of the Serine residue in the 411 position is of paramount importance for the activation of p70S6K.
What is the risk associated with visual manual interaction during cell networking and text messaging while driving?,PMC3709122_00007.txt,0,1,1,1,"The risk associated with visual manual interaction during cell networking and text messaging while driving is an increase in the risk of vehicle accidents, comp",1,1,1,1,"The risk associated with visual manual interaction during cell networking and text messaging while driving is an increase in the likelihood of accidents, compar",1,1,1,1,"The risk associated with visual manual interaction during cell networking and text messaging while driving is an increase in the risk of vehicle accidents, comp",1,1,1,1,"The risk associated with visual manual interaction during cell networking and text messaging while driving is an increase in the risk of accidents, comparable t"
What is the primary mechanism by which fibrates lower lipid levels?,PMC5874549_00003.txt,1,1,1,1,Fibrates lower lipid levels primarily by activating the peroxisome proliferator-activated receptor-alpha (PPAR-alpha).,1,1,1,1,The primary mechanism by which fibrates lower lipid levels is by activating the peroxisome proliferator-activated receptor-alpha (PPAR-alpha).,1,1,1,1,Fibrates lower lipid levels primarily by activating the peroxisome proliferator-activated receptor-alpha (PPAR-alpha).,1,1,1,1,Fibrates lower lipid levels primarily by activating the peroxisome proliferator-activated receptor-alpha (PPAR-alpha).
What does the term 'Lamerr' refer to in the context of parenting discipline?,PMC5429906_00004.txt,1,0,1,1,"The term 'Lamerr' refers to permissive discipline, where a parent may say that a child can't do something but allows them to do it anyway, indicating a lack of ",1,1,1,1,The term 'Lamerr' refers to permissive discipline in the context of parenting.,1,1,1,1,"The term 'Lamerr' refers to permissive discipline, where a parent may say ""my child can't do something"" but then allows the child to do it anyway, indicating a ",1,1,1,1,The term 'Lamerr' refers to permissive discipline in the context of parenting.
What does the Hepatocoon clade represent in terms of its phylogenetic structure?,PMC6084435_00008.txt,1,0,1,1,"The Hepatocoon clade represents a polyphyletic structure, with well-supported monophyletic groups formed within it.",0,1,1,1,"The Hepatocoon clade represents a well-supported monophyletic group, with species forming distinct monophyletic clades within the larger clade.",0,1,1,1,"The Hepatocoon clade represents a well-supported monophyletic group, with specific species forming distinct well-supported monophyletic clades within the larger",0,1,1,1,"The Hepatocoon clade represents a well-supported monophyletic group, with specific species forming distinct monophyletic clades within the larger clade. The ana"
What stabilization method is most commonly described in the articles regarding the effect of applying dentition?,PMC5906482_00007.txt,1,0,1,1,The most commonly described stabilization method in the articles regarding the effect of applying dentition is the use of features or wires.,1,0,1,1,The most commonly described stabilization method in the articles regarding the effect of applying dentition is the use of features or wires.,1,0,1,1,The most commonly described stabilization method in the articles regarding the effect of applying dentition is the use of features or wires.,1,0,1,1,The most commonly described stabilization method in the articles regarding the effect of applying dentition is the use of features or wires.
What stem cell factors are associated with NSCLC resistance to chemotherapy?,PMC4650740_00006.txt,1,1,1,1,"The stem cell factors associated with NSCLC resistance to chemotherapy are Sox2, Oct, and Nanog.",1,1,1,1,"The stem cell factors associated with NSCLC resistance to chemotherapy are Sox2, Oct, and Nanog.",1,1,1,1,"The stem cell factors associated with NSCLC resistance to chemotherapy are Sox2, Oct, and Nanog.",1,1,1,1,"The stem cell factors associated with NSCLC resistance to chemotherapy include Sox2, Oct, and Nanog."
What are the protective effects of coactivation of PPAR and Nrf2?,PMC5733955_00001.txt,1,1,1,1,"The coactivation of PPAR and Nrf2 has been shown to protect against oxidative stress, inflammation, and carcinogenesis.",1,1,1,1,"The coactivation of PPAR and Nrf2 has been shown to protect against oxidative stress, inflammation, and carcinogenesis.",1,1,1,1,"The coactivation of PPAR and Nrf2 has been shown to protect against oxidative stress, inflammation, and carcinogenesis.",1,1,1,1,"The coactivation of PPAR and Nrf2 has been shown to protect against oxidative stress, inflammation, and carcinogenesis."
