question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
Are Bamboo Mañalac and Danny Jones both musicians?,Bamboo_Manalac_c064bb.txt|Danny_Jones.txt,hotpot_comparison,llama4-maverick,0,0,1,0.5,0,1.0,340,45,1068.9,7.8e-05,"According to the provided context, Bamboo Mañalac is a Filipino American musician and singer-songwriter. However, there is no information about Danny Jones. The",,0,0,1,0.5,0,1.0,418,49,595.9,9.2e-05,"According to the provided context and knowledge-graph facts, Bamboo Mañalac is a Filipino American musician and singer-songwriter. However, there is no informat",,1,1,1,1.0,1,1.0,464,49,1231.5,9.9e-05,"Yes, according to the context, Bamboo Mañalac is a Filipino American musician and singer-songwriter, and Danny Jones is a British musician and one of the lead v",
"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",Battle_of_Manila_1945.txt|Seven_Days_Battles.txt,hotpot_comparison,llama4-maverick,1,1,1,1.0,1,1.0,317,57,1184.7,8.2e-05,"The Seven Days Battles were fought from June 25 to July 1, 1862, while the Battle of Manila occurred from February 3, 1945 – March 3, 1945. Therefore, the Seven",,1,1,1,1.0,1,1.0,429,84,949.4,0.000115,"To determine which battle was fought earlier, we need to look at the dates of the two battles.  The Seven Days Battles took place from June 25 to July 1, 1862. ",,1,1,1,1.0,1,1.0,478,70,1101.5,0.000114,"The Seven Days Battles were fought from June 25 to July 1, 1862, during the American Civil War, while the Battle of Manila took place from February 3, 1945, to ",
Are Yingkou and Fuding the same level of city?,Fuding.txt|Yingkou.txt,hotpot_comparison,llama4-maverick,1,1,1,0.5,0,1.0,243,56,816.0,7e-05,"According to the context, Yingkou is a prefecture-level city, while Fuding is a city that has a subdistrict called Tongcheng. There is no information about the ",,0,0,1,0.5,0,1.0,332,297,2586.2,0.000228,"To determine if Yingkou and Fuding are the same level of city, we need to examine the information provided in the context passages and the knowledge-graph facts",,1,0,1,1.0,1,1.0,366,37,449.1,7.7e-05,"According to the context, Yingkou is a prefecture-level city, and Fuding is a county-level city. Therefore, no, they are not the same level of city.",
Are Hot Rod and The Memory of Our People both magazines?,Hot_Rod_magazine.txt|The_Memory_of_Our_People.txt,hotpot_comparison,llama4-maverick,1,1,1,1.0,1,1.0,218,29,476.8,5e-05,"Yes, they are both magazines. Hot Rod is an American car magazine, and The Memory of Our People is a magazine published in Argentina.",,1,1,1,1.0,1,1.0,298,42,888.5,7e-05,"Yes, both Hot Rod and The Memory of Our People are magazines. According to the knowledge-graph facts, ""hot rod is monthly american car magazine"" and ""the memory",,1,1,1,1.0,1,1.0,277,41,861.2,6.6e-05,"Yes, they are both magazines. According to the context, Hot Rod is ""a monthly American car magazine"" and The Memory of Our People is ""a magazine published in th",
"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Henri_Bergson.txt|Thomas_Friedman.txt,hotpot_comparison,llama4-maverick,1,1,1,1.0,1,1.0,276,43,681.2,6.7e-05,"Thomas Friedman has won more Pulitzer Prizes. According to the context, Thomas Friedman is a three-time Pulitzer Prize winner, while there is no mention of Henr",,1,1,1,1.0,1,1.0,294,136,1372.2,0.000126,"To answer this question, we need to look at the information provided about Thomas Friedman and Henri Bergson.  From the context passages, we know that Thomas Lo",,1,1,1,1.0,1,1.0,520,39,646.2,0.000101,"Thomas Friedman has won three Pulitzer Prizes, while there is no information about Henri Bergson winning any Pulitzer Prizes. Therefore, Thomas Friedman has won",
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,Elko_Regional_Airport.txt|Gerald_R._Ford_International_Airport.txt,hotpot_comparison,llama4-maverick,1,0,1,0.5,0,1.0,300,32,575.5,6.4e-05,"I don't know. The text only mentions that Gerald R. Ford International Airport is located in Michigan, but it doesn't mention Elko Regional Airport at all.",,1,0,1,0.5,0,1.0,410,69,2296.6,0.000103,"According to the provided context, Gerald R. Ford International Airport is located in Cascade Township, approximately 13 mi southeast of Grand Rapids, Michigan.",,1,0,1,1.0,1,1.0,469,44,1107.2,9.7e-05,"No, they are not both located in Michigan. According to the context, Gerald R. Ford International Airport is located in Grand Rapids, Michigan, while Elko Regio",
Are Freakonomics and In the Realm of the Hackers both American documentaries?,Freakonomics_film.txt|In_the_Realm_of_the_Hackers.txt,hotpot_comparison,llama4-maverick,1,1,1,1.0,1,1.0,399,33,509.3,8e-05,"No, they are not. Freakonomics: The Movie is an American documentary film, while In The Realm of the Hackers is an Australian documentary.",,1,1,1,1.0,1,1.0,444,53,803.7,9.8e-05,"No. According to the context passages, Freakonomics: The Movie is a 2010 American documentary film, while In The Realm of the Hackers is a 2003 Australian docum",,1,1,1,1.0,1,1.0,575,28,436.4,0.000103,"No, In the Realm of the Hackers is an Australian documentary, while Freakonomics: The Movie is an American documentary.",
"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters_to_Cleo.txt|Screaming_Trees.txt,hotpot_comparison,llama4-maverick,1,1,1,1.0,1,1.0,310,83,1112.4,9.6e-05,"According to the context, Letters to Cleo had 6 members (Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and Tom Polce), while Scream",,1,1,1,1.0,1,1.0,385,145,2555.7,0.000145,"To determine which band had more members, let's examine the information provided.  For Letters to Cleo, the members listed are:  1. Kay Hanley 2. Greg McKenna 3",,1,1,1,1.0,1,1.0,521,90,1206.6,0.000132,"According to the context, Letters to Cleo had 6 members: Kay Hanley, Greg McKenna, Michael Eisenstein, Stacy Jones, Scott Riebling, and Tom Polce. Screaming Tre",
"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Lev_Yilmaz.txt|Pamela_B._Green.txt,hotpot_comparison,llama4-maverick,1,1,1,1.0,1,1.0,281,33,4991.3,6.2e-05,"Lev Yilmaz is known for his ""Tales of Mere Existence"" animated comic series, so Lev Yilmaz is the filmmaker known for animation.",,1,0,1,1.0,1,1.0,346,33,621.1,7.2e-05,"Lev Yilmaz is known for his ""Tales of Mere Existence"" animated comic series, so Lev Yilmaz is the filmmaker known for animation.",,1,1,1,1.0,1,1.0,393,44,518.3,8.5e-05,"Lev Yilmaz is known for his ""Tales of Mere Existence"" animated comic series, so he is the filmmaker associated with animation. There is no mention of Pamela B. ",
Do the drinks Gibson and Zurracapote both contain gin?,Gibson_cocktail.txt|Zurracapote.txt,hotpot_comparison,llama4-maverick,1,1,1,1.0,1,1.0,222,67,2373.5,7.3e-05,"No, they don't both contain gin. According to the context, the Gibson is made with gin, but there's no mention of gin in the ingredients of Zurracapote. Zurraca",,1,0,1,1.0,1,1.0,302,151,1717.5,0.000136,"To determine if both Gibson and Zurracapote contain gin, let's examine the information provided.  The passage about the Gibson cocktail states that it is ""made ",,1,1,1,1.0,1,1.0,366,85,1597.1,0.000106,"According to the provided context, the Gibson is a mixed drink made with gin and vermouth. Zurracapote is a Spanish alcoholic mixed drink that consists of red w",
