question_type,question_set,model,contrast,acc_baseline,acc_target,acc_delta,in_tok_delta
text,questions_publaynet_text,gpt4o-mini,+KG - baseline,0.657,0.571,-0.086,42.2
text,questions_publaynet_text,gpt4o-mini,+both - baseline,0.657,0.6,-0.057,216.5
text,questions_publaynet_text,gemini-flash-lite,+KG - baseline,0.514,0.6,0.086,42.6
text,questions_publaynet_text,gemini-flash-lite,+both - baseline,0.514,0.6,0.086,247.3
text,questions_publaynet_text,llama4-scout,+KG - baseline,0.543,0.6,0.057,40.0
text,questions_publaynet_text,llama4-scout,+both - baseline,0.543,0.571,0.028,213.2
text,questions_publaynet_text,llama4-maverick,+KG - baseline,0.657,0.714,0.057,40.0
text,questions_publaynet_text,llama4-maverick,+both - baseline,0.657,0.657,0.0,213.2
multihop,questions_publaynet_multihop,gpt4o-mini,+KG - baseline,0.433,0.367,-0.066,52.3
multihop,questions_publaynet_multihop,gpt4o-mini,+both - baseline,0.433,0.467,0.034,229.0
multihop,questions_publaynet_multihop,gemini-flash-lite,+KG - baseline,0.6,0.533,-0.067,54.0
multihop,questions_publaynet_multihop,gemini-flash-lite,+both - baseline,0.6,0.567,-0.033,260.1
multihop,questions_publaynet_multihop,llama4-scout,+KG - baseline,0.5,0.533,0.033,50.0
multihop,questions_publaynet_multihop,llama4-scout,+both - baseline,0.5,0.533,0.033,225.0
multihop,questions_publaynet_multihop,llama4-maverick,+KG - baseline,0.5,0.533,0.033,50.0
multihop,questions_publaynet_multihop,llama4-maverick,+both - baseline,0.5,0.533,0.033,225.0
figure,questions_publaynet_figures_caption,gpt4o-mini,+KG - baseline,0.2,0.114,-0.086,28.7
figure,questions_publaynet_figures_caption,gpt4o-mini,+both - baseline,0.2,0.4,0.2,9348.3
figure,questions_publaynet_figures_caption,gemini-flash-lite,+KG - baseline,0.2,0.171,-0.029,30.5
figure,questions_publaynet_figures_caption,gemini-flash-lite,+both - baseline,0.2,0.257,0.057,1124.7
figure,questions_publaynet_figures_caption,llama4-scout,+KG - baseline,0.143,0.2,0.057,26.5
figure,questions_publaynet_figures_caption,llama4-scout,+both - baseline,0.143,0.2,0.057,448.7
figure,questions_publaynet_figures_caption,llama4-maverick,+KG - baseline,0.171,0.143,-0.028,26.5
figure,questions_publaynet_figures_caption,llama4-maverick,+both - baseline,0.171,0.257,0.086,448.7
figure,questions_publaynet_figures,gpt4o-mini,+KG - baseline,0.0,0.0,0.0,25.9
figure,questions_publaynet_figures,gpt4o-mini,+both - baseline,0.0,0.114,0.114,9021.7
figure,questions_publaynet_figures,gemini-flash-lite,+KG - baseline,0.0,0.0,0.0,27.6
figure,questions_publaynet_figures,gemini-flash-lite,+both - baseline,0.0,0.086,0.086,1115.6
figure,questions_publaynet_figures,llama4-scout,+KG - baseline,0.0,0.0,0.0,23.9
figure,questions_publaynet_figures,llama4-scout,+both - baseline,0.0,0.057,0.057,404.6
figure,questions_publaynet_figures,llama4-maverick,+KG - baseline,0.0,0.0,0.0,23.9
figure,questions_publaynet_figures,llama4-maverick,+both - baseline,0.0,0.086,0.086,404.6
figure,questions_publaynet_figures,gpt4o,+KG - baseline,0.0,0.0,0.0,25.9
figure,questions_publaynet_figures,gpt4o,+both - baseline,0.0,0.143,0.143,305.5
