question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
How does the use of bidirectional gated recurrent units in encoding sequences relate to the implementation of sentence-level BLEU as an objective for the generator?,1611.04684v1.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,473,21,774.0,8.4e-05,I don't know. The provided context does not mention bidirectional gated recurrent units or sentence-level BLEU.,,0,0,0,0,0,0.0,492,89,2231.4,0.000127,I don't know.   The provided context passages and knowledge-graph facts do not contain information about bidirectional gated recurrent units or sentence-level B,,0,0,0,0,0,0.0,642,25,669.2,0.000111,I don't know. The provided text context and image descriptions do not mention bidirectional gated recurrent units or sentence-level BLEU.,,0,0,1,0,0,0.0,665,36,775.1,0.000121,I don't know. The provided text context and knowledge-graph facts do not mention bidirectional gated recurrent units or sentence-level BLEU. The image descripti,
"How are pretrained word2vec embeddings utilized in the training process, and what effect do they have on internal coherence in models for IMDB and Yahoo answers?",1804.07707v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,508,5,309.4,7.9e-05,I don't know.,,0,0,0,0,0,0.0,519,58,1373.1,0.000113,"I don't know. The provided context passages and knowledge-graph facts do not contain any information about pretrained word2vec embeddings, IMDB, or Yahoo answer",,0,0,0,0,0,0.0,664,46,1000.2,0.000127,"I don't know. The provided text context does not mention word2vec embeddings, IMDB, or Yahoo answers. It appears to be discussing image classification, descript",,0,0,0,0,0,0.0,679,5,595.7,0.000105,I don't know.,
"How is maximum likelihood estimation applied in supervised summarization approaches, and what role does it play in pre-training the generator in GANs?",1812.00108v4.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,432,5,369.5,6.8e-05,I don't know.,,0,0,1,0,0,0.0,443,36,1122.1,8.8e-05,"I don't know. The provided context passages and knowledge-graph facts do not contain information about maximum likelihood estimation, supervised summarization a",,0,0,0,0,0,0.0,624,30,739.5,0.000112,I don't know. The provided text context and image descriptions do not mention maximum likelihood estimation or its application in supervised summarization appro,,0,0,0,0,0,0.0,639,43,1388.4,0.000122,I don't know. The provided text context and knowledge-graph facts do not contain information about maximum likelihood estimation or its application in supervise,
"How does knowledge transfer in action recognition utilize a large amount of training data, and what challenges do deep generative models face regarding a large amount of training data?",1804.01429v3.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,391,5,348.6,6.2e-05,I don't know.,,0,0,0,0,0,0.0,408,5,343.4,6.4e-05,I don't know.,,0,0,0,0,0,0.0,553,59,1281.6,0.000118,I don't know. The provided text context does not discuss knowledge transfer in action recognition or the challenges faced by deep generative models regarding a ,,0,0,1,0,0,0.0,574,67,1319.6,0.000126,I don't know. The provided text context and knowledge-graph facts do not discuss knowledge transfer in action recognition or the challenges faced by deep genera,
"How does the baseline model in the smoke dataset learn spatial and temporal features, and what method is used to process spatial features across frames in the independent views?",1811.09393v4.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,541,57,1317.3,0.000115,I don't know. The provided context does not mention a smoke dataset or a baseline model learning spatial and temporal features. It appears to be discussing imag,,0,0,0,0,0,0.0,613,72,1529.0,0.000135,"I don't know. The provided context passages and knowledge-graph facts do not contain information about a ""smoke dataset"" or a ""baseline model"" learning spatial ",,0,0,0,0,0,0.0,703,36,582.7,0.000127,"I don't know. The provided text context and image descriptions do not contain information about a baseline model, smoke dataset, or the processing of spatial fe",,0,0,0,0,0,0.0,779,5,500.1,0.00012,I don't know.,
"What datasets are introduced for temporal action localization, and what is a key requirement for efficient search in temporal action localization?",1804.01429v3.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,398,5,395.0,6.3e-05,I don't know.,,0,0,0,0,0,0.0,409,5,266.2,6.4e-05,I don't know.,,0,0,1,0,0,0.0,593,22,586.9,0.000102,I don't know. The provided text context does not mention temporal action localization or the datasets introduced for it.,,0,0,1,0,0,0.0,608,20,698.3,0.000103,I don't know. The provided text context does not mention temporal action localization or any related datasets.,
"What challenges do tensor factorization methods face in modeling time modes, and what novel approach is proposed to address the gap in their application to HRSI?",1803.04572v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,408,5,395.7,6.4e-05,I don't know.,,0,0,0,0,0,0.0,419,58,1443.6,9.8e-05,I don't know. The provided context passages and knowledge-graph facts do not contain information related to tensor factorization methods or their application to,,0,0,0,0,0,0.0,592,28,612.2,0.000106,I don't know. The provided text context and image descriptions do not contain information about tensor factorization methods or their application to HRSI.,,0,0,0,0,0,0.0,607,28,589.9,0.000108,I don't know. The provided text context and image descriptions do not contain information about tensor factorization methods or their application to HRSI.,
"How does mutual information estimation contribute to the talking face generation task, and what is the objective of generating a sequence of frames in this task?",1812.06589v2.txt,multihop_cross,llama4-maverick,0,0,0,0,0,0.0,421,91,1494.9,0.000118,"I don't know. The provided context does not mention ""talking face generation task"" or ""mutual information estimation"" in the same passage. However, it does desc",,0,0,0,0,0,0.0,455,92,1632.3,0.000123,I don't know.   The provided context passages and knowledge-graph facts do not contain information related to the talking face generation task or the role of mu,,0,0,0,0,0,0.0,597,57,1040.9,0.000124,"I don't know. The provided text context does not mention ""mutual information estimation"" or ""talking face generation task."" However, it does describe a morphing",,0,0,0,0,0,0.0,635,87,2325.4,0.000147,"I don't know. The provided text context and knowledge-graph facts do not mention ""talking face generation task"" or ""mutual information estimation"" in relation t",
"How does MTSA contribute to question-type classification, and what classification type is question-type classification categorized as in TREC?",1805.00912v4.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,463,19,571.5,8.1e-05,I don't know. The provided context does not contain information about MTSA or TREC.,,0,0,0,0,0,0.0,474,5,621.6,7.4e-05,I don't know.,,0,0,1,0,0,0.0,620,23,648.0,0.000107,I don't know. The provided text context and image descriptions do not contain information about MTSA or TREC.,,0,0,1,0,0,0.0,635,45,813.9,0.000122,"I don't know. The provided text context and knowledge-graph facts do not contain information about MTSA or its contribution to question-type classification, nor",
"What challenges do semantic segmentation models face when tested on different datasets, and how does a semi-supervised method improve the training of semantic segmentation models?",1805.04687v2.txt,multihop_cross,llama4-maverick,0,0,1,0,0,0.0,485,54,817.6,0.000105,I don't know. The provided context doesn't discuss the challenges semantic segmentation models face or how a semi-supervised method improves their training. It ,,0,0,0,0,0,0.0,554,98,1486.7,0.000142,I don't know. The provided context passages and knowledge-graph facts do not directly address the challenges semantic segmentation models face when tested on di,,0,0,0,0,0,0.0,667,116,1830.6,0.00017,I don't know. The provided text context and image descriptions do not directly address the challenges faced by semantic segmentation models on different dataset,,0,0,0,0,0,0.0,740,210,2582.8,0.000237,"Unfortunately, the provided text context and knowledge-graph facts do not directly address the question about the challenges semantic segmentation models face w",
