question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
How does the use of bidirectional gated recurrent units in encoding sequences relate to the implementation of sentence-level BLEU as an objective for the generator?,1611.04684v1.txt|1703.04887v4.txt,multihop_cross,gemini-flash-lite,1,0,1,0.5,0,1.0,484,59,1379.9,7.2e-05,I don't know. The provided text describes the use of bidirectional gated recurrent units for the encoder in the RNNSearch model and separately discusses the use,,1,1,1,0.5,0,1.0,569,84,971.7,9.1e-05,"Based on the provided context and knowledge-graph facts, the encoder uses bidirectional gated recurrent units to encode the input sequence, while the smoothed s",,0,0,1,0.5,0,1.0,691,50,696.2,8.9e-05,I don't know. The provided context mentions the use of bidirectional gated recurrent units in the RNNSearch model and the use of sentence-level BLEU as an objec,
"How are pretrained word2vec embeddings utilized in the training process, and what effect do they have on internal coherence in models for IMDB and Yahoo answers?",1804.07707v2.txt|1705.09296v2.txt,multihop_cross,gemini-flash-lite,1,1,1,1.0,1,1.0,463,120,1166.0,9.4e-05,"Based on the provided context:  *   **Utilization:** In the model discussed in [1705.09296v2.txt], the encoder is initialized with pretrained word2vec embedding",,1,1,1,1.0,1,1.0,539,46,1095.7,7.2e-05,"Based on the provided context, pretrained word2vec embeddings are utilized by initializing the encoder with them and not updating them. In models for IMDB and Y",,1,1,1,1.0,1,1.0,700,48,922.5,8.9e-05,"Based on the provided context, pretrained word2vec embeddings are utilized by initializing the encoder with them and not updating them. In models for IMDB and Y",
"How is maximum likelihood estimation applied in supervised summarization approaches, and what role does it play in pre-training the generator in GANs?",1812.00108v4.txt|1703.04887v4.txt,multihop_cross,gemini-flash-lite,1,0,1,1.0,1,1.0,447,53,712.0,6.6e-05,The provided context does not contain information regarding how maximum likelihood estimation is applied in supervised summarization approaches.  Regarding GANs,,0,0,1,1.0,1,1.0,522,56,679.0,7.5e-05,"Based on the provided context, I do not know how maximum likelihood estimation is applied in supervised summarization approaches.  Regarding GANs, the provided ",,0,0,1,1.0,1,1.0,711,68,948.7,9.8e-05,"Based on the provided context, I do not know how maximum likelihood estimation is applied in supervised summarization approaches.  Regarding GANs, the context s",
"How does knowledge transfer in action recognition utilize a large amount of training data, and what challenges do deep generative models face regarding a large amount of training data?",1804.01429v3.txt|1703.10730v2.txt,multihop_cross,gemini-flash-lite,1,1,1,0.5,0,1.0,422,77,744.6,7.3e-05,"Based on the provided context:  Regarding action recognition, previous work on knowledge transfer for both images and videos has been based on visual similarity",,1,1,1,0.5,0,1.0,505,73,796.1,8e-05,"Based on the provided context, knowledge transfer for action recognition utilizes a large amount of training data because previous work has been based on visual",,1,1,1,0.5,0,1.0,708,84,826.3,0.000104,"Based on the provided context:  Regarding action recognition, previous work on knowledge transfer has been based on visual similarity, which requires a large am",
"How does the baseline model in the smoke dataset learn spatial and temporal features, and what method is used to process spatial features across frames in the independent views?",1811.09393v4.txt|1812.00108v4.txt,multihop_cross,gemini-flash-lite,1,1,1,1.0,1,1.0,450,109,804.4,8.9e-05,"Based on the provided context:  *   **Baseline model in the smoke dataset:** It learns spatial and temporal features by using the simplest input for $D_{s,t}$, ",,1,1,1,1.0,1,1.0,525,75,799.6,8.2e-05,"Based on the provided context, the baseline model in the smoke dataset learns spatial and temporal features using the original, unwarped triplets (Ig or Ib).  R",,1,1,1,1.0,1,1.0,720,109,803.9,0.000116,"Based on the provided context:  *   **Baseline model in the smoke dataset:** It learns spatial and temporal features by using the simplest input for $D_{s,t}$, ",
"What datasets are introduced for temporal action localization, and what is a key requirement for efficient search in temporal action localization?",1804.01429v3.txt|1706.04269v2.txt,multihop_cross,gemini-flash-lite,1,1,1,0.5,0,1.0,396,85,803.2,7.4e-05,"Based on the provided context:  *   **Datasets:** The text mentions THUMOS14 as a challenging temporal action localization dataset, but it does not state that t",,1,1,1,0.5,0,1.0,468,75,793.2,7.7e-05,"Based on the provided context, THUMOS14 is mentioned as a challenging temporal action localization dataset.   Regarding the requirement for efficient search, th",,1,1,1,1.0,1,1.0,720,89,818.3,0.000108,"Based on the provided context:  *   **Datasets introduced for temporal action localization:** THUMOS [17], ActivityNet [4], and AVA [13]. (Note: THUMOS14 [24] i",
"What challenges do tensor factorization methods face in modeling time modes, and what novel approach is proposed to address the gap in their application to HRSI?",1803.04572v2.txt|1707.01917v2.txt,multihop_cross,gemini-flash-lite,1,1,1,1.0,1,1.0,407,51,1059.2,6.1e-05,"Regarding the challenges in modeling time modes, regular tensor factorization methods struggle when the time mode is irregular.  Regarding the application to HR",,1,1,1,1.0,1,1.0,495,63,551.1,7.5e-05,"Based on the provided context, tensor factorization methods face challenges in modeling time modes because the time mode is intrinsically difficult to model due",,1,1,1,1.0,1,1.0,706,111,813.8,0.000115,Based on the provided context:  *   **Challenges in modeling time modes:** Regular tensor factorization methods struggle with modeling the time mode when it is ,
"How does mutual information estimation contribute to the talking face generation task, and what is the objective of generating a sequence of frames in this task?",1812.06589v2.txt|1804.04786v3.txt,multihop_cross,gemini-flash-lite,1,1,1,1.0,1,1.0,409,93,615.8,7.8e-05,Based on the provided text:  **Contribution of mutual information estimation:** The asymmetric mutual information estimator is introduced to maximize the cohere,,1,1,1,1.0,1,1.0,499,95,646.2,8.8e-05,"Based on the provided context and knowledge-graph facts, mutual information estimation is used to explore the coherence between audio and visual modalities. The",,1,1,1,1.0,1,1.0,689,104,746.2,0.000111,"Based on the provided context:  **Contribution of mutual information estimation:** In the context of talking face generation, the asymmetric mutual information ",
"How does MTSA contribute to question-type classification, and what classification type is question-type classification categorized as in TREC?",1805.00912v4.txt|1809.02731v3.txt,multihop_cross,gemini-flash-lite,1,1,1,1.0,1,1.0,518,39,654.2,6.7e-05,"The provided context does not contain information regarding how MTSA contributes to question-type classification. According to the text, question-type classific",,0,1,1,1.0,1,1.0,557,48,538.9,7.5e-05,"Based on the provided context and knowledge-graph facts, I do not know how MTSA contributes to question-type classification. Regarding the classification type, ",,1,1,1,1.0,1,1.0,762,37,609.1,9.1e-05,"The provided context does not contain information regarding how MTSA contributes to question-type classification. Regarding the classification type, the context",
"What challenges do semantic segmentation models face when tested on different datasets, and how does a semi-supervised method improve the training of semantic segmentation models?",1805.04687v2.txt|1811.07073v3.txt,multihop_cross,gemini-flash-lite,0,1,1,0.5,0,1.0,402,106,705.6,8.3e-05,I don't know. The provided context does not mention challenges faced by semantic segmentation models when tested on different datasets.   Regarding how a semi-s,,0,0,0,0.5,0,1.0,496,31,501.4,6.2e-05,I don't know. The provided context and knowledge-graph facts do not contain information regarding the challenges semantic segmentation models face when tested o,,1,1,1,1.0,1,1.0,644,148,817.2,0.000124,"Based on the provided context:  **Challenges when tested on different datasets:** There is a dramatic domain shift between datasets, which causes semantic segme",
