question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What vaccine is currently the only one used in China for leptospirosis?,PMC5985562_00009.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,459,19,1477.5,5.4e-05,A multivalent inactivated vaccine is currently the only one used in China for leptospirosis.,,1,1,1,1,1,1.0,474,18,693.2,5.5e-05,The currently used vaccine in China for leptospirosis is a multivalent inactivated vaccine.,,1,1,1,1,1,1.0,690,24,527.8,7.9e-05,The provided text states that a multivalent inactivated vaccine is currently the only one used in China for leptospirosis.,,1,1,1,1,1,1.0,709,25,888.3,8.1e-05,"According to the provided text, a multivalent inactivated vaccine is currently the only one used in China for leptospirosis.",
What percentage increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS?,PMC5731661_00008.txt,text,gemini-flash-lite,0,1,1,1,1,1.0,502,32,449.6,6.3e-05,A 32.3% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1,1.0,553,31,479.8,6.8e-05,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,0,1,1,1,1,1.0,690,28,573.6,8e-05,A 32.3% increase in signal was observed for buprenorphine when analyzed by TD-DART-MS.,,1,1,1,1,1,1.0,745,31,472.8,8.7e-05,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,
What is the name of the instrument developed at Laval University to measure doctor-patient communication competency in medical students?,PMC5658909_00001.txt,text,gemini-flash-lite,0,0,0,1,1,1.0,445,46,611.0,6.3e-05,"The provided text does not state the name of the instrument developed at Laval University. It mentions an instrument called ""Competency for Medical Students (DP",,0,0,0,1,1,1.0,540,6,417.0,5.6e-05,I don't know.,,0,0,0,1,1,1.0,644,47,854.8,8.3e-05,"The provided text mentions the ""Competency for Medical Students (DPCC-MS)"" as an instrument to measure doctor-patient communication, but it does not state that ",,1,0,1,1,1,1.0,743,20,1331.2,8.2e-05,"The provided text identifies the instrument as the ""Competency for Medical Students (DPCC-MS).""",
What linguistic cue indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension?,PMC5018041_00001.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,387,23,458.6,4.8e-05,The provided context indicates that the subjunctive mood is used to convey information that is factually false in counterfactual comprehension.,,1,1,1,1,1,1.0,435,31,503.1,5.6e-05,The provided context and knowledge-graph facts indicate that the subjunctive mood is the linguistic cue used in counterfactual comprehension to convey informati,,1,1,1,1,1,1.0,581,44,588.7,7.6e-05,"According to the provided text, the linguistic cue that indicates the speaker is conveying information that is factually false is the use of the subjunctive moo",,1,1,1,1,1,1.0,633,32,679.3,7.6e-05,"Based on the provided text and knowledge-graph facts, the subjunctive mood is the linguistic cue used in counterfactual comprehension to convey information that",
What was the primary diagnosis of the 115 women in the BED group?,PMC3051108_00002.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,491,22,653.9,5.8e-05,The primary diagnosis of the 115 women in the BED group was BED (Binge Eating Disorder).,,1,0,1,1,1,1.0,512,22,862.2,6e-05,The primary diagnosis of the 115 women in the BED group was BED (Binge Eating Disorder).,,1,1,1,1,1,1.0,660,22,490.1,7.5e-05,The primary diagnosis of the 115 women in the BED group was BED (Binge Eating Disorder).,,1,1,1,1,1,1.0,685,18,528.9,7.6e-05,The primary diagnosis of the women in the BED group was BED (Binge Eating Disorder).,
What type of mice were used to evaluate the protective role of EGCG against diabetic testicular damage?,PMC5733955_00001.txt,text,gemini-flash-lite,0,1,1,1,1,1.0,480,25,466.4,5.8e-05,Eight-week-old normal and diabetic male C57BL/6 wild-type and Nef knockout mice were used.,,1,1,1,1,1,1.0,563,41,606.3,7.3e-05,The mice used to evaluate the protective role of EGCG against diabetic testicular damage were eight-week-old normal and diabetic male C57BL/6 wild-type and Nrf2,,1,1,1,1,1,1.0,685,27,438.1,7.9e-05,Eight-week-old normal and diabetic male C57BL/6 wild-type and Nrf2 knockout mice were used.,,0,1,1,1,1,1.0,772,37,670.5,9.2e-05,Eight-week-old normal and diabetic male C57BL/6 wild-type and Nef knockout mice were used to evaluate the protective role of EGCG against diabetic testicular da,
What questionnaire module is used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms?,PMC5759866_00005.txt,text,gemini-flash-lite,0,0,1,1,1,1.0,531,32,461.5,6.6e-05,The breast cancer-specific module used alongside the EORTC-QLQ-C30 is the EORTC-QLQ-BR23.,,0,0,1,1,1,1.0,625,32,546.5,7.5e-05,The breast cancer-specific module used alongside the EORTC-QLQ-C30 is the EORTC-QLQ-BR23.,,0,0,1,1,1,1.0,721,31,513.5,8.5e-05,The breast cancer-specific module used alongside the EORTC QLQ-C30 is the EORTC-QLQ-BR23.,,0,0,1,1,1,1.0,819,31,668.2,9.4e-05,The breast cancer-specific module used alongside the EORTC QLQ-C30 is the EORTC-QLQ-BR23.,
What year is associated with the Cngenve ae Fae nvsom esas entity in the passage?,PMC4974260_00004.txt,text,gemini-flash-lite,0,0,0,0,0,0.0,483,6,753.0,5.1e-05,I don't know.,,0,0,0,0,0,0.0,498,6,362.4,5.2e-05,I don't know.,,0,0,0,0,0,0.0,685,6,478.4,7.1e-05,I don't know.,,0,0,0,0,0,0.0,704,6,499.5,7.3e-05,I don't know.,
What term did the vocational trainees in this Swedish general practice study use to refer to a specific refugee group?,PMC4205530_00005.txt,text,gemini-flash-lite,1,0,1,1,1,1.0,460,22,507.3,5.5e-05,"The vocational trainees in the study used the term ""Somali patient"" to refer to the specific refugee group.",,1,0,1,1,1,1.0,491,22,703.9,5.8e-05,"The vocational trainees in the study used the term ""Somali patient"" to refer to the specific refugee group.",,1,0,1,1,1,1.0,651,22,940.0,7.4e-05,"The vocational trainees in the study used the term ""Somali patient"" to refer to that specific refugee group.",,1,0,1,1,1,1.0,686,22,585.2,7.7e-05,"The vocational trainees in the study used the term ""Somali patient"" to refer to the specific refugee group.",
What two approaches are discussed for assessing the grammatical abilities of nonhuman animals?,PMC5325849_00000.txt,text,gemini-flash-lite,1,1,1,1,1,1.0,443,55,655.4,6.6e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the syntax of animal vocalizations with that of lang,,1,1,1,1,1,1.0,464,55,556.7,6.8e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the syntax of animal vocalizations with that of lang,,1,1,1,1,1,1.0,630,56,733.6,8.5e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the structure of animal vocalizations with that of l,,1,1,1,1,1,1.0,655,55,747.4,8.8e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the structure of animal vocalizations with that of l,
