question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+KGret_acc,+KGret_faith,+KGret_rel,+KGret_rec,+KGret_complete,+KGret_mrr,+KGret_in_tok,+KGret_out_tok,+KGret_latency_ms,+KGret_cost_usd,+KGret_answer,+KGret_error
How does the use of bidirectional gated recurrent units in encoding sequences relate to the implementation of sentence-level BLEU as an objective for the generator?,1611.04684v1.txt|1703.04887v4.txt,multihop_cross,llama4-maverick,1,0,1,0.5,0,1.0,469,145,3165.5,0.000157,The text does not directly state the relationship between the use of bidirectional gated recurrent units and the implementation of sentence-level BLEU as an obj,,1,1,1,0.5,0,1.0,547,177,2702.3,0.000188,The encoder is a bidirectional gated recurrent units that encodes the input sequence. The smoothed sentence-level BLEU is utilized as the reinforced objective f,,1,0,1,0.5,0,1.0,682,135,1736.1,0.000183,The text does not directly state the relationship between using bidirectional gated recurrent units and implementing sentence-level BLEU as an objective for the,
"How are pretrained word2vec embeddings utilized in the training process, and what effect do they have on internal coherence in models for IMDB and Yahoo answers?",1804.07707v2.txt|1705.09296v2.txt,multihop_cross,llama4-maverick,1,1,1,1.0,1,1.0,441,54,917.2,9.9e-05,"According to the context, pretrained word2vec embeddings are utilized by initializing the encoder with them and not updating them during the training process. T",,1,1,1,1.0,1,1.0,516,69,1380.0,0.000119,"According to the context passage [1705.09296v2.txt], pretrained word2vec embeddings are utilized in the training process by initializing the encoder with them a",,1,1,1,1.0,1,1.0,658,70,885.2,0.000141,"According to the context provided in [1705.09296v2.txt], initializing the encoder with pretrained word2vec embeddings and not updating them returned a model wit",
"How is maximum likelihood estimation applied in supervised summarization approaches, and what role does it play in pre-training the generator in GANs?",1812.00108v4.txt|1703.04887v4.txt,multihop_cross,llama4-maverick,1,1,1,1.0,1,1.0,420,60,974.6,9.9e-05,I don't know how maximum likelihood estimation is applied in supervised summarization approaches because the provided context doesn't mention it in that context,,1,0,1,1.0,1,1.0,491,287,3197.3,0.000246,"To answer the question, we need to look at the provided context passages.  The first passage, [1812.00108v4.txt], discusses supervised summarization approaches.",,1,0,1,1.0,1,1.0,665,47,535.5,0.000128,"I don't know how maximum likelihood estimation is applied in supervised summarization approaches, but according to [1703.04887v4.txt], it is used to pre-train t",
"How does knowledge transfer in action recognition utilize a large amount of training data, and what challenges do deep generative models face regarding a large amount of training data?",1804.01429v3.txt|1703.10730v2.txt,multihop_cross,llama4-maverick,0,1,1,0.5,0,1.0,394,116,1219.5,0.000129,"According to the context, knowledge transfer in action recognition utilizes a large amount of training data based on visual similarity. However, the context doe",,0,1,1,0.5,0,1.0,467,154,1768.3,0.000162,"According to the context passage [1804.01429v3.txt], knowledge transfer for action recognition has been based on visual similarity, which requires a large amoun",,1,0,1,0.5,0,1.0,650,222,1789.3,0.000231,"According to the context, knowledge transfer in action recognition utilizes a large amount of training data based on visual similarity. Specifically, it is ment",
"How does the baseline model in the smoke dataset learn spatial and temporal features, and what method is used to process spatial features across frames in the independent views?",1811.09393v4.txt|1812.00108v4.txt,multihop_cross,llama4-maverick,1,1,1,1.0,1,1.0,431,97,1221.1,0.000123,"According to the provided context, in the smoke dataset, the baseline model learns spatial and temporal features and their correlation by using the original, un",,1,1,1,1.0,1,1.0,504,172,2381.5,0.000179,"To answer the question, we need to look at the relevant information from the provided context passages.  For the smoke dataset, according to [1811.09393v4.txt],",,1,1,1,1.0,1,1.0,691,87,1493.3,0.000156,"The baseline model in the smoke dataset learns spatial and temporal features and their correlation by using the original, unwarped triplets as input. According ",
"What datasets are introduced for temporal action localization, and what is a key requirement for efficient search in temporal action localization?",1804.01429v3.txt|1706.04269v2.txt,multihop_cross,llama4-maverick,0,1,1,0.5,0,1.0,375,52,1510.4,8.7e-05,"According to the context, one of the most challenging temporal action localization datasets mentioned is THUMOS14.  A key requirement for efficient search in te",,1,1,1,0.5,0,1.0,444,144,2363.1,0.000153,"You don't directly ask about a specific fact from the knowledge graph or the context, but rather a combination that can be inferred.   From the context passage ",,1,1,1,1.0,1,1.0,661,111,1298.3,0.000166,"According to the provided context, the datasets introduced for temporal/spatial-temporal action localization are THUMOS, ActivityNet, and AVA.   A key requireme",
"What challenges do tensor factorization methods face in modeling time modes, and what novel approach is proposed to address the gap in their application to HRSI?",1803.04572v2.txt|1707.01917v2.txt,multihop_cross,llama4-maverick,1,1,1,1.0,1,1.0,394,78,941.0,0.000106,"According to the context, tensor factorization methods face challenges in modeling time modes due to its irregularity. Additionally, when applied to HRSI, they ",,1,1,1,1.0,1,1.0,472,76,888.9,0.000116,"According to the context passages, tensor factorization methods face challenges in modeling time modes due to its irregularity. In the context of HRSI, straight",,1,1,1,1.0,1,1.0,661,142,1328.2,0.000184,"According to the provided context, tensor factorization methods face challenges in modeling time modes due to its irregularity. Specifically, regular tensor fac",
"How does mutual information estimation contribute to the talking face generation task, and what is the objective of generating a sequence of frames in this task?",1812.06589v2.txt|1804.04786v3.txt,multihop_cross,llama4-maverick,0,0,1,1.0,1,1.0,395,135,1294.3,0.00014,"The context doesn't directly state how mutual information estimation contributes to the talking face generation task, but it does mention that an ""asymmetric mu",,1,1,1,1.0,1,1.0,478,386,3995.9,0.000303,"To answer the question, we need to analyze the given context passages and knowledge-graph facts.  According to the knowledge-graph facts, ""talking face generati",,0,0,1,1.0,1,1.0,645,198,1786.2,0.000216,"The context doesn't directly explain how mutual information estimation contributes to the talking face generation task. However, it does mention that an ""asymme",
"How does MTSA contribute to question-type classification, and what classification type is question-type classification categorized as in TREC?",1805.00912v4.txt|1809.02731v3.txt,multihop_cross,llama4-maverick,1,0,1,1.0,1,1.0,482,78,1077.1,0.000119,"The provided context doesn't directly mention how MTSA contributes to question-type classification. However, it does mention that question-type classification (",,0,0,1,1.0,1,1.0,515,132,1528.5,0.000156,"According to the context, MTSA's contribution to question-type classification isn't directly stated, but it is mentioned in [1805.00912v4.txt] that MTSA's contr",,1,1,1,1.0,1,1.0,701,129,1502.8,0.000183,"The provided context does not directly state how MTSA contributes to question-type classification. However, it does mention that MTSA is compared with baselines",
"What challenges do semantic segmentation models face when tested on different datasets, and how does a semi-supervised method improve the training of semantic segmentation models?",1805.04687v2.txt|1811.07073v3.txt,multihop_cross,llama4-maverick,0,1,1,0.5,0,1.0,383,58,740.5,9.2e-05,"I don't know. The provided context doesn't discuss the challenges semantic segmentation models face when tested on different datasets. It does, however, discuss",,1,1,1,0.5,0,1.0,468,208,4080.8,0.000195,The provided context and knowledge-graph facts do not directly address the challenges semantic segmentation models face when tested on different datasets. Howev,,1,1,1,1.0,1,1.0,602,164,1687.7,0.000189,"According to the provided context, semantic segmentation models face a ""dramatic domain shift"" when tested on different datasets, resulting in worse performance",
"How does the feed-forward neural network predict the next joint configuration of a robot, and what role does it play in evaluating the coherence of sentence embeddings?",1603.03833v4.txt|1611.02654v2.txt,multihop_cross,llama4-maverick,1,0,1,1.0,1,1.0,375,157,1425.2,0.00015,"According to the context, a feed-forward neural network is used to predict the next joint configuration of a robot by taking the robot's current joint configura",,1,1,1,1.0,1,1.0,445,137,2071.5,0.000149,"The feed-forward neural network is used to predict the next joint configuration of a robot based on its current joint configuration. However, it is not directly",,1,1,1,1.0,1,1.0,606,141,1674.3,0.000176,"The feed-forward neural network is used to predict the next joint configuration of a robot by taking the robot's current joint configuration as input. However, ",
"How do sequence-to-sequence models utilize a hierarchical structure for combinatorial optimization, and what challenges do they face when applied to the AMR dataset?",1611.02654v2.txt|1804.07707v2.txt,multihop_cross,llama4-maverick,1,0,1,1.0,1,1.0,390,131,1531.1,0.000137,"The provided context doesn't directly discuss how sequence-to-sequence models utilize a hierarchical structure for combinatorial optimization. However, it is me",,1,1,1,1.0,1,1.0,474,159,2170.1,0.000166,"Sequence-to-sequence models can be equipped with the ability to handle input and output sets for combinatorial optimization, as seen in (?). Our model has a hie",,1,0,1,1.0,1,1.0,650,163,3060.8,0.000195,"The provided context doesn't directly explain how sequence-to-sequence models utilize a hierarchical structure for combinatorial optimization. However, it is me",
"How does the uniqueness of factorizations relate to standard compressed sensing, and what role does sparsity play in applications of standard compressed sensing?",1706.08146v3.txt|1811.06635v1.txt,multihop_cross,llama4-maverick,1,1,1,1.0,1,1.0,378,135,1532.1,0.000138,"Sparsity is a useful tool in compressed sensing. According to the context from [1811.06635v1.txt], sparse signals play an important role in applications such as",,1,1,1,1.0,1,1.0,448,165,1735.0,0.000166,"Sparsity has been a useful tool to tackle high dimensional problems in many fields, including compressed sensing. According to the context passage from [1811.06",,1,0,1,1.0,1,1.0,700,141,1914.7,0.00019,"The provided context does not directly relate the uniqueness of factorizations to standard compressed sensing. However, it does mention that sparsity has been a",
